system,rt_exper,Pubchem,cmm_id,rt_pred
FEM_long,19.095,227,96525.0,640.4766
RIKEN,1.39,227,96525.0,640.4766
Waters ACQUITY UPLC with Synapt G1 Q-TOF,1.673583333,227,96525.0,640.4766
FEM_long,37.1,5280443,12711.0,745.7975
MTBLS38,9.923608137,5280443,12711.0,745.7975
UniToyama_Atlantis,16.401667,5280443,12711.0,745.7975
FEM_long,28.915,5385553,,691.33
FEM_orbitrap_plasma,7.43,5385553,,691.33
UniToyama_Atlantis,11.966667,5385553,,691.33
UniToyama_Atlantis,11.84745,5385553,,691.33
Qtof-PFEM,9.6,5385553,,691.33
INRA_QTOF,9.6,5385553,,691.33
FEM_long,1.4075,854,155123.0,556.93427
FEM_long,53.5,231,,1031.4408
FEM_long,7.605,346,49252.0,617.38513
FEM_long,36.65,5281605,13799.0,743.0262
FEM_orbitrap_plasma,10.26,5281605,13799.0,743.0262
UniToyama_Atlantis,16.365,5281605,13799.0,743.0262
FEM_long,58.7,8215,25268.0,1191.9127
FEM_lipids,15.8,8215,25268.0,1191.9127
FEM_orbitrap_plasma,17.74,8215,25268.0,1191.9127
FEM_orbitrap_urine,18.68,8215,25268.0,1191.9127
FEM_orbitrap_plasma,6.66,8215,25268.0,1191.9127
FEM_long,26.2,243,129057.0,735.6942
FEM_orbitrap_plasma,1.47,243,129057.0,735.6942
FEM_long,39.1,3102,78506.0,919.12866
FEM_long,43.5,2345,61737.0,967.6243
FEM_long,1.375,247,91437.0,622.66614
FEM_short,1.340862069,247,91437.0,622.66614
MTBLS38,1.54743441,247,91437.0,622.66614
MTBLS87,8.6,247,91437.0,622.66614
RIKEN,0.17,247,91437.0,622.66614
MTBLS36,1.572693092,247,91437.0,622.66614
OBSF,0.68,247,91437.0,622.66614
OBSF,0.69,247,91437.0,622.66614
FEM_long,19.6,1491,65464.0,624.33704
FEM_long,53.2,2371,,1214.2615
FEM_long,46.3,519915,,1031.704
FEM_long,21.6,253,,623.8141
FEM_long,59.54,31278,31907.0,1351.1035
FEM_long,1.1,273,80102.0,79.15813
RIKEN,0.14,273,80102.0,79.15813
FEM_orbitrap_plasma,0.88,273,80102.0,79.15813
FEM_long,20.7,2518,106262.0,687.10095
FEM_long,20.37,2519,70377.0,610.28564
LIFE_new,3.130666667,2519,70377.0,610.28564
LIFE_old,1.65485,2519,70377.0,610.28564
IPB_Halle,3.4563,2519,70377.0,610.28564
MTBLS20,5.6,2519,70377.0,610.28564
MTBLS87,3.8,2519,70377.0,610.28564
RIKEN,1.24,2519,70377.0,610.28564
UFZ_Phenomenex,16.1,2519,70377.0,610.28564
UFZ_Phenomenex,16.1,2519,70377.0,610.28564
Eawag_XBridgeC18,4.0,2519,70377.0,610.28564
FEM_long,36.5,2537,165.0,833.7567
FEM_long,1.55,294,93294.0,567.7603
FEM_long,19.15,2757,128231.0,578.4988
FEM_long,18.0,348159,,619.1011
1290SQ,6.869,348159,,619.1011
FEM_long,60.2,304,,1301.1394
FEM_long,57.7,288202,,1249.2115
FEM_long,40.88,5281607,12895.0,805.8618
FEM_long,31.8,8784,147513.0,776.0271
FEM_long,56.2,142770,50424.0,1311.7839
FEM_long,5.185,1081,46992.0,543.6261
FEM_short,4.02,1081,46992.0,543.6261
MTBLS38,5.173385775,1081,46992.0,543.6261
MTBLS87,12.6,1081,46992.0,543.6261
FEM_long,3.91,311,48472.0,581.12634
LIFE_new,0.658683333,311,48472.0,581.12634
LIFE_old,0.785016667,311,48472.0,581.12634
MTBLS20,1.7,311,48472.0,581.12634
MTBLS20,1.1,311,48472.0,581.12634
MTBLS39,3.039115341,311,48472.0,581.12634
MTBLS87,15.5,311,48472.0,581.12634
FEM_orbitrap_plasma,1.375,311,48472.0,581.12634
